State,Policy,Status
MI,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
MI,Bar Closures,Newly Closed
MI,Face Covering Requirement,Required for General Public
MI,Primary Election Postponement,-
MI,Emergency Declaration,Yes
MN,Status of Reopening,Proceeding with Reopening
MN,Stay at Home Order,Lifted
MN,Mandatory Quarantine for Travelers,-
MN,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen
MN,Large Gatherings Ban,>10 People Prohibited
MN,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
MN,Bar Closures,Reopened
MN,Face Covering Requirement,Required for General Public
MN,Primary Election Postponement,-
MN,Emergency Declaration,Yes
MS,Status of Reopening,New Restrictions Imposed
MS,Stay at Home Order,Lifted
MS,Mandatory Quarantine for Travelers,-
MS,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
MS,Large Gatherings Ban,New Limit on Large Gatherings in Place
MS,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
MS,Bar Closures,New Service Limits
MS,Face Covering Requirement,Required for General Public
MS,Primary Election Postponement,Postponed
MS,Emergency Declaration,Yes
MO ,Status of Reopening,Reopened
MO ,Stay at Home Order,Lifted
MO ,Mandatory Quarantine for Travelers,-
MO ,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen
MO ,Large Gatherings Ban,Lifted
MO ,Restaurant Limits,Reopened to Dine-in Service
MO ,Bar Closures,Reopened
MO ,Face Covering Requirement,-
MO ,Primary Election Postponement,-
MO ,Emergency Declaration,Yes
MT ,Status of Reopening,Proceeding with Reopening
MT ,Stay at Home Order,Lifted
MT ,Mandatory Quarantine for Travelers,Lifted
MT ,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
MT ,Large Gatherings Ban,Expanded to New Limit Above 25
MT ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
MT ,Bar Closures,Reopened
MT ,Face Covering Requirement,Required for General Public
MT ,Primary Election Postponement,-
MT ,Emergency Declaration,Yes
NE,Status of Reopening,Proceeding with Reopening
NE,Stay at Home Order,-
NE,Mandatory Quarantine for Travelers,Rolled Back to International Travel
NE,Non-Essential Business Closures,-
NE,Large Gatherings Ban,Expanded to New Limit of 25
NE,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
NE,Bar Closures,Reopened
NE,Face Covering Requirement,Required for Certain Employees
NE,Primary Election Postponement,-
NE,Emergency Declaration,Yes
NV,Status of Reopening,New Restrictions Imposed
NV,Stay at Home Order,Lifted
NV,Mandatory Quarantine for Travelers,-
NV,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
NV,Large Gatherings Ban,Expanded to New Limit Above 25
NV,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
NV,Bar Closures,Reopened
NV,Face Covering Requirement,Required for General Public
NV,Primary Election Postponement,-
NV,Emergency Declaration,Yes
NH,Status of Reopening,Proceeding with Reopening
NH,Stay at Home Order,Lifted
NH,Mandatory Quarantine for Travelers,-
NH,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
NH,Large Gatherings Ban,Lifted
NH,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
NH,Bar Closures,Reopened
NH,Face Covering Requirement,Required for Certain Employees
NH,Primary Election Postponement,-
NH,Emergency Declaration,Yes
NJ,Status of Reopening,New Restrictions Imposed
NJ,Stay at Home Order,Lifted
NJ,Mandatory Quarantine for Travelers,From Certain States (New)
NJ,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
