coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-73.9119404,40.8482485",Sun Jul 19 06:02:39 +0000 2020,covid19 nyc,,,0,1284730349281566720,NYGovCuomo,,232268199,en,"Bronx, NY",,0,,,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Android</a>",@NYGovCuomo @NYCMayorsOffice large crowd gathering on the sidewalk at 1763 Jerome Ave in the Bronx. This is a repeat problem and social distancing violation. NYPD is ignoring 311 reports and closing them without taking action. #covid19 #nyc,https://twitter.com/BradleyF81/status/1284730349281566720,Tue Jul 07 20:42:56 +0000 2009,BradleyF81,false,"Army Combat Veteran. MA History from CCNY-CUNY in NYC. I like cats, sci-fi, manga/anime, video games, cycling, mythology, and history. 🇺🇸🇵🇭🇯🇵",6561,524,785,28,"Bronx, NYC",Bradley Farless,BradleyF81,43873,,https://www.bradleyfarless.com,false
"11.2854153,43.44829749",Sun Jul 19 06:00:33 +0000 2020,ChiantiClassico Tuscany,,,7,1284729820627316736,,,,en,"Castellina in Chianti, Tuscany",,1,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Another sunny Sunday in the #ChiantiClassico for us to enjoy. Just sad there’s no one around. The Chianti towns are deserted and it’s really strange since we didn’t have a single case of COVID here. Only the large cities in #Tuscany did but are now clear. Enjoy your Sunday.,https://twitter.com/tuscanray/status/1284729820627316736,Mon Jul 13 07:41:31 +0000 2009,tuscanray,false,#TourOperator offering #Holiday #Villas in #Tuscany + #Italy and #Casamonti #farm #tours with #ChiantiClassico + #EVO + #CintaSenese + #lunches + #winetastings,24134,24052,26157,430,"Tuscany, Italy",Raymond Lamothe,tuscanray,19497,,http://www.tuscanenterprises.com,false
"77.67193705,12.92687488",Sun Jul 19 06:23:49 +0000 2020,sanitize staysafe temperaturecheck workfromhome zomatodelivery swiggydelivery kormangala Bellandur greenglenlayout Indiranagar northbangalore healthyfood,,https://www.instagram.com/p/CC0EAaEnxWq/?igshid=1ltah3s8wuymb,0,1284735676513222658,,,,en,"Bengaluru South, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Locked down home ..... Eat Healthy, Stay safe!! 
#sanitize #staysafe #temperaturecheck #workfromhome #zomatodelivery #swiggydelivery #kormangala #Bellandur #greenglenlayout #Indiranagar #northbangalore #healthyfood… https://t.co/jyw4PS7hOi",https://twitter.com/thesaladstudio/status/1284735676513222658,Wed Oct 19 03:47:34 +0000 2016,thesaladstudio,false,"We are offering our concept of The Salad Studio : Art of making your own Salads.
A unifying concept based on strong social trends: adopt healthier eating habits",0,11,7,0,"Bengaluru, India",The Salad Studio,thesaladstudio,31,,,false
"103.856,1.29306",Sun Jul 19 06:47:11 +0000 2020,,,https://www.instagram.com/p/CC0GrpuADua/?igshid=1uotn64agccfk,0,1284741559129440257,,,,en,"Central Region, Singapore",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Corona, US and India! @ Singapore https://t.co/v4GdI3KlJg",https://twitter.com/ududsha/status/1284741559129440257,Thu Feb 26 07:25:42 +0000 2009,ududsha,false,#React #Angular #NodeJS #Spring #NoSQL #Startup,463,401,1471,65,Singapore,Shamendra ⛵⛳,ududsha,1207,,http://www.github.com/ududsha,false
"122.947,10.6717",Sun Jul 19 05:29:28 +0000 2020,,,https://www.instagram.com/p/CCz9yRHJsjg/?igshid=1j524uasf39s,0,1284722001614188544,,,,en,"Bacolod City, Western Visayas",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dear Parents August 24 is coming soon!
🚩 There is no face to face class interaction until there is no vaccine against Covid 19. There are ′′ classes ′′ but the child will no longer go to schools.
🚩 Mode of learning… https://t.co/PFt1zXwShl",https://twitter.com/_MaTheresa_/status/1284722001614188544,Tue Feb 14 06:39:33 +0000 2012,_MaTheresa_,false,One of the happiest moments ever is when you find the courage to let go of what you can't Change#artofLettingGo,13010,43,765,0,Purok Paghida-et Phase VI-A Br,Ma.Theresa Dinglasan,_MaTheresa_,12751,,https://www.facebook.com/dinglasanmatheresadepaula/,false
"139.52672661,35.6641192",Sun Jul 19 06:45:09 +0000 2020,FCTokyo,,https://www.instagram.com/p/CC0GctmFIlc/?igshid=1xlblpfyijzet,3,1284741048451977218,,,,en,"Chofu-shi, Tokyo",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#FCTokyo ends seven-year winless streak against Urawa. 
With capacity at the venue limited to just 5,000 under the government’s coronavirus-related restrictions, enthusiastic Tokyo fans may not have been able to… https://t.co/2jelBRrYaC",https://twitter.com/YasushiYamawaki/status/1284741048451977218,Mon Oct 30 13:32:06 +0000 2017,YasushiYamawaki,false,"International Paralympic Committee, NPC Japan, Tokyo2020 Organizing Committee, Nippon Foundation Paralympic Support Center",3087,1061,288,22,東京 渋谷区,YAMA_wave,YasushiYamawaki,2818,,,false
"144.45349,-37.24783",Sun Jul 19 05:21:59 +0000 2020,,,https://www.instagram.com/p/CCz87anAzIe3lCVzAkFwj6IBTceaFsRhYc2G4Y0/?igshid=6dbriggfxgcx,0,1284720117021118471,,,,en,"Kyneton, Victoria",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Due to the pandemic crisis and possible stage 4 restrictions, I will be wearing a mask at all times. Crime fighting will, alas, be a part time endeavour, as I still have tennis… https://t.co/uRfsxh8Ta9",https://twitter.com/JamesACrabtree/status/1284720117021118471,Tue Mar 29 07:44:18 +0000 2011,JamesACrabtree,false,Brit in Oz. Author. Expert procrastinator. 🎾 🏀 tennisbasketballobsessive.human being.,1004,284,1083,14,"Melbourne, Australia",☆James A. Crabtree☆,JamesACrabtree,3293,,,false
"0.46927397,51.70513813",Sun Jul 19 06:20:00 +0000 2020,chelmerpark essexleaguecricket stanstedlabs essex chelmsford,,https://www.instagram.com/p/CC0DkjZlFIx/?igshid=hovon6jg2qmk,1,1284734716000837640,Chelmsford_CC,,1096485408,en,"Galleywood, East",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",@Chelmsford_CC Sat 1st Team photo social distancing #chelmerpark #essexleaguecricket #stanstedlabs #essex #chelmsford great to see these guys yesterday and credit to their groundsman excellent conditions @ Chelmer Park https://t.co/MMM2GkWc2O,https://twitter.com/Jbowag/status/1284734716000837640,Mon Oct 25 13:13:56 +0000 2010,Jbowag,false,"Semi-Pro Freelance Sports, Events & Portraits Photographer. Father to 3 sporting sons & owner of 3 English Springer Spaniels. Nikon User. D5 D850 Z6 📷📸",5361,1621,4757,22,"Benfleet, Essex.",Jonathan Wagstaff (Photographer),Jbowag,15102,,http://www.jonwagstaffphotography.co.uk,false
"-74.0064,40.7142",Sun Jul 19 06:07:10 +0000 2020,,,https://www.instagram.com/p/CC0CGj7h-gktQqkU0CxmamA6-TpgDhHZFsaZMo0/?igshid=zt7fdq9j57el,0,1284731489708650496,,,,en,"Manhattan, NY",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","It started with such hope, so much optimism. COVID. you’ve been sheltering in place for months. this is your EMERGENCE for mensfolio featuring hiteshbisht10 with musemennyc shot by… https://t.co/iKvQFdN52b",https://twitter.com/aaronkicksass/status/1284731489708650496,Thu Jul 20 13:50:08 +0000 2017,aaronkicksass,false,do things with passion or not at all,4,15,4,0,"New York, NY",Aaron Williams,aaronkicksass,348,,http://aaronkicksass.com,false
"88.46210156,22.7039798",Sun Jul 19 05:21:47 +0000 2020,,,https://www.instagram.com/p/CCz86FZH1uK/?igshid=11yxrq06oytge,0,1284720066890739714,,,,en,"Kolkata, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",We are fighting against COVID 19 . Please help us to help others 🙏 @ SMILE Society- Voluntary Service Organization https://t.co/yGmDK9x0og,https://twitter.com/smilengo_india/status/1284720066890739714,Sun Dec 25 21:02:53 +0000 2011,smilengo_india,false,"Volunteering opportunities in India & Abroad. https://t.co/NxbgIXwpDm,
https://t.co/ryvFloW8TL,
https://t.co/Hx7992pnLR,
http://www.workcampindia.o",76,649,1687,22,India,SMILENGO India,smilengo_india,6686,,https://www.smilengo.org,false
